Goal,NumberSuccessful,NumberFailed,NumberCanceled,TotalProjects,PercentageSuccessful,PercentageFailed,PercentageCanceled
less than 1000,322,113,18,453,71%,25%,4%
1000 to 4999,932,420,60,1412,66%,30%,4%
5000 to 9999,381,283,52,716,53%,40%,7%
10000 to 14999,168,144,40,352,48%,41%,11%
15000 to 19999,94,90,17,201,47%,45%,8%
20000 to 24999,62,72,14,148,42%,49%,9%
25000 to 29999,381,283,52,716,53%,40%,7%
30000 to 34999,32,37,13,82,39%,45%,16%
35000 to 39999,26,22,7,55,47%,40%,13%
40000 to 44999,21,16,6,43,49%,37%,14%
45000 to 49999,6,11,4,21,29%,52%,19%
Greater than or equal to 50000,55,198,83,336,16%,59%,25%
